timestamp, pA
0, 501.829923
0, 500.360436
0, 501.829923
0, 500.727808
0, 499.625692
0, 502.013609
0, 505.319956
0, 503.115725
0, 504.768898
0, 502.932039
0, 504.217840
0, 504.768898
0, 502.564667
0, 504.401526
0, 503.666782
0, 503.115725
0, 504.952584
0, 505.871013
0, 503.483096
0, 502.013609
0, 502.380981
0, 504.768898
0, 508.258930
0, 506.973129
0, 505.136270
0, 504.952584
0, 503.850468
0, 505.687327
0, 506.238385
0, 509.177360
0, 507.340501
0, 508.075244
0, 506.054699
0, 504.217840
0, 506.054699
0, 505.871013
0, 507.707873
0, 505.871013
0, 506.605757
0, 505.319956
0, 502.380981
0, 506.238385
0, 505.503642
0, 504.768898
0, 504.768898
0, 503.115725
0, 501.278865
0, 504.217840
0, 505.871013
0, 502.748353
0, 502.564667
0, 503.666782
0, 502.932039
0, 502.380981
0, 502.197295
0, 498.523577
0, 500.727808
0, 504.401526
0, 502.748353
0, 503.483096
0, 504.585212
0, 504.217840
0, 506.973129
0, 503.666782
0, 503.850468
0, 504.217840
0, 505.687327
0, 505.503642
0, 503.850468
0, 505.136270
0, 506.054699
0, 502.197295
0, 505.319956
0, 502.932039
0, 506.422071
0, 506.422071
0, 504.585212
0, 506.605757
0, 504.217840
0, 504.768898
0, 507.524187
0, 505.687327
0, 505.503642
0, 504.768898
0, 507.524187
0, 507.891558
0, 505.503642
0, 506.054699
0, 505.687327
0, 505.503642
0, 502.380981
0, 502.380981
0, 501.646237
0, 504.217840
0, 502.197295
0, 505.871013
0, 503.299411
0, 500.176750
0, 502.380981
0, 501.095180
0, 499.625692
0, 499.809378
0, 502.748353
0, 504.034154
0, 502.564667
0, 500.176750
0, 499.074634
0, 504.585212
0, 502.197295
0, 503.666782
0, 505.871013
0, 506.238385
0, 503.483096
0, 504.217840
0, 505.871013
0, 504.768898
0, 505.503642
0, 505.871013
0, 504.952584
0, 503.115725
0, 503.115725
0, 501.646237
0, 504.585212
0, 504.585212
0, 507.340501
0, 508.075244
0, 506.054699
0, 507.524187
0, 505.503642
0, 506.238385
0, 504.034154
0, 507.707873
0, 505.687327
0, 507.524187
0, 508.993674
0, 509.177360
0, 506.238385
0, 506.238385
0, 506.238385
0, 502.197295
0, 502.748353
0, 502.932039
0, 506.054699
0, 503.299411
0, 502.564667
0, 503.850468
0, 505.319956
0, 505.503642
0, 504.217840
0, 504.768898
0, 500.911494
0, 503.666782
0, 504.034154
0, 501.829923
0, 503.299411
0, 504.217840
0, 506.054699
0, 503.666782
0, 504.585212
0, 503.483096
0, 502.197295
0, 506.973129
0, 505.687327
0, 501.829923
0, 502.932039
0, 502.013609
0, 503.483096
0, 506.422071
0, 502.748353
0, 502.748353
0, 505.503642
0, 506.238385
0, 504.952584
0, 505.503642
0, 506.238385
0, 503.850468
0, 505.687327
0, 504.401526
0, 504.034154
0, 505.136270
0, 506.973129
0, 508.809988
0, 505.136270
0, 506.054699
0, 504.768898
0, 505.136270
0, 507.156815
0, 501.829923
0, 503.666782
0, 499.074634
0, 505.319956
0, 505.687327
0, 505.687327
0, 504.768898
0, 503.299411
0, 501.278865
0, 502.013609
0, 503.483096
0, 502.013609
0, 501.646237
0, 502.564667
0, 502.748353
0, 500.544122
0, 502.564667
0, 503.666782
0, 503.666782
0, 500.727808
0, 503.299411
0, 505.503642
0, 502.564667
0, 503.115725
0, 503.850468
0, 503.666782
0, 504.217840
0, 502.197295
0, 501.462551
0, 500.360436
0, 504.217840
0, 504.952584
0, 503.115725
0, 505.871013
0, 505.687327
0, 506.789443
0, 508.075244
0, 506.789443
0, 502.932039
0, 504.768898
0, 507.524187
0, 506.789443
0, 506.789443
0, 504.217840
0, 508.626302
0, 510.279475
0, 507.891558
0, 508.809988
0, 504.034154
0, 503.850468
0, 507.156815
0, 503.483096
0, 504.034154
0, 506.238385
0, 506.422071
0, 506.422071
0, 507.156815
0, 501.095180
0, 502.013609
0, 503.666782
0, 502.932039
0, 505.136270
0, 502.748353
0, 500.544122
0, 501.646237
0, 500.544122
0, 503.483096
0, 502.932039
0, 503.299411
0, 503.299411
0, 504.034154
0, 504.585212
0, 503.483096
0, 503.115725
0, 503.666782
0, 504.585212
0, 504.585212
0, 502.932039
0, 504.034154
0, 504.585212
0, 502.748353
0, 502.197295
0, 503.666782
0, 506.605757
0, 508.626302
0, 506.054699
0, 506.422071
0, 507.156815
0, 504.217840
0, 506.789443
0, 504.034154
0, 502.748353
0, 503.666782
0, 505.871013
0, 509.177360
0, 503.299411
0, 506.238385
0, 504.217840
0, 503.483096
0, 501.095180
0, 502.380981
0, 504.034154
0, 506.973129
0, 505.871013
0, 504.585212
0, 502.564667
0, 500.727808
0, 502.564667
0, 502.197295
0, 503.115725
0, 504.217840
0, 501.646237
0, 503.299411
0, 504.401526
0, 502.932039
0, 500.176750
0, 500.360436
0, 504.585212
0, 504.585212
0, 500.911494
0, 502.380981
0, 500.360436
0, 501.646237
0, 504.952584
0, 504.401526
0, 499.442006
0, 504.768898
0, 505.503642
0, 502.564667
0, 504.217840
0, 502.748353
0, 506.238385
0, 502.932039
0, 507.707873
0, 506.422071
0, 504.952584
0, 504.952584
0, 504.768898
0, 505.687327
0, 506.605757
0, 507.156815
0, 508.809988
0, 506.605757
0, 508.442616
0, 508.258930
0, 503.299411
0, 506.789443
0, 507.340501
0, 505.871013
0, 505.503642
0, 505.871013
0, 507.156815
0, 502.932039
0, 506.605757
0, 503.483096
0, 504.768898
0, 504.401526
0, 504.034154
0, 503.483096
0, 502.932039
0, 503.483096
0, 501.829923
0, 502.380981
0, 500.176750
0, 501.829923
0, 502.564667
0, 503.299411
0, 502.748353
0, 502.748353
0, 503.666782
0, 504.034154
0, 503.299411
0, 505.503642
0, 504.768898
0, 504.768898
0, 504.585212
0, 506.054699
0, 502.932039
0, 503.850468
0, 505.503642
0, 504.217840
0, 504.585212
0, 504.217840
0, 505.871013
0, 502.932039
0, 505.136270
0, 506.422071
0, 503.483096
0, 505.136270
0, 506.789443
0, 505.319956
0, 503.299411
0, 506.973129
0, 504.768898
0, 507.891558
0, 508.258930
0, 505.687327
0, 504.217840
0, 505.503642
0, 507.707873
0, 505.503642
0, 504.034154
0, 500.727808
0, 501.278865
0, 504.768898
0, 502.748353
0, 499.625692
0, 502.380981
0, 502.013609
0, 504.585212
0, 500.911494
0, 500.544122
0, 502.013609
0, 500.544122
0, 503.115725
0, 502.932039
0, 503.299411
0, 502.013609
0, 502.380981
0, 503.115725
0, 499.258320
0, 504.034154
0, 503.299411
0, 502.380981
0, 505.503642
0, 506.238385
0, 503.299411
0, 502.564667
0, 505.319956
0, 506.973129
0, 505.319956
0, 502.932039
0, 503.483096
0, 504.768898
0, 503.115725
0, 502.564667
0, 504.952584
0, 506.605757
0, 505.319956
0, 504.401526
0, 506.054699
0, 507.707873
0, 506.973129
0, 505.136270
0, 508.258930
0, 506.605757
0, 507.707873
0, 508.075244
0, 506.973129
0, 507.156815
0, 503.483096
0, 503.850468
0, 503.850468
0, 505.503642
0, 503.850468
0, 506.789443
0, 503.299411
0, 503.850468
0, 502.564667
0, 499.442006
0, 501.095180
0, 504.217840
0, 504.217840
0, 505.503642
0, 502.013609
0, 504.401526
0, 502.564667
0, 503.115725
0, 504.217840
0, 502.380981
0, 504.952584
0, 504.768898
0, 503.483096
0, 503.115725
0, 500.911494
0, 502.748353
0, 505.871013
0, 506.973129
0, 505.319956
0, 504.401526
0, 506.238385
0, 504.034154
0, 503.299411
0, 502.013609
0, 503.666782
0, 506.054699
0, 505.687327
0, 506.422071
0, 506.422071
0, 506.054699
0, 505.871013
0, 503.299411
0, 502.932039
0, 505.136270
0, 503.666782
0, 506.605757
0, 506.605757
0, 504.034154
0, 506.422071
0, 502.380981
0, 502.564667
0, 506.605757
0, 504.034154
0, 507.707873
0, 503.483096
0, 503.850468
0, 504.401526
0, 501.278865
0, 503.850468
0, 503.666782
0, 502.564667
0, 500.176750
0, 500.727808
0, 501.829923
0, 502.380981
0, 500.176750
0, 500.727808
0, 501.829923
0, 500.727808
0, 503.483096
0, 503.850468
0, 501.462551
0, 502.748353
0, 505.136270
1250, 505.136270
1250, 503.850468
1250, 500.360436
1250, 506.054699
1250, 508.809988
1250, 505.503642
1250, 501.829923
1250, 502.932039
1250, 505.503642
1250, 504.217840
1250, 503.483096
1250, 506.973129
1250, 506.422071
1250, 508.075244
1250, 505.319956
1250, 505.871013
1250, 505.687327
1250, 502.380981
1250, 506.973129
1250, 507.707873
1250, 506.238385
1250, 505.687327
1250, 506.054699
1250, 509.177360
1250, 506.605757
1250, 505.871013
1250, 503.850468
1250, 504.217840
1250, 505.503642
1250, 504.217840
1250, 504.401526
1250, 503.115725
1250, 504.768898
1250, 506.605757
1250, 504.401526
1250, 501.095180
1250, 501.829923
1250, 502.380981
1250, 503.115725
1250, 502.380981
1250, 501.278865
1250, 505.136270
1250, 504.585212
1250, 505.871013
1250, 503.850468
1250, 502.013609
1250, 504.401526
1250, 503.115725
1250, 502.197295
1250, 504.952584
1250, 502.932039
1250, 504.217840
1250, 504.401526
1250, 504.217840
1250, 503.666782
1250, 504.952584
1250, 505.319956
1250, 503.666782
1250, 503.299411
1250, 504.401526
1250, 504.952584
1250, 505.136270
1250, 505.136270
1250, 502.932039
1250, 505.871013
1250, 506.789443
1250, 507.340501
1250, 504.768898
1250, 504.952584
1250, 505.319956
1250, 505.319956
1250, 508.075244
1250, 504.768898
1250, 505.319956
1250, 505.319956
1250, 504.952584
1250, 505.319956
1250, 504.217840
1250, 501.462551
1250, 506.054699
1250, 506.238385
1250, 506.054699
1250, 501.646237
1250, 500.360436
1250, 502.197295
1250, 503.850468
1250, 499.258320
1250, 502.932039
1250, 502.748353
1250, 501.829923
1250, 502.748353
1250, 502.197295
1250, 501.095180
1250, 504.034154
1250, 502.564667
1250, 504.034154
1250, 501.462551
1250, 503.115725
1250, 507.340501
1250, 505.503642
1250, 502.380981
1250, 499.809378
1250, 500.911494
1250, 504.034154
1250, 503.850468
1250, 504.768898
1250, 504.034154
1250, 503.299411
1250, 506.238385
1250, 505.319956
1250, 506.238385
1250, 505.503642
1250, 504.768898
1250, 506.422071
1250, 505.136270
1250, 504.768898
1250, 506.973129
1250, 505.136270
1250, 504.768898
1250, 504.401526
1250, 506.789443
1250, 507.707873
1250, 508.075244
1250, 507.891558
1250, 505.687327
1250, 506.973129
1250, 503.850468
1250, 502.932039
1250, 504.585212
1250, 506.054699
1250, 506.422071
1250, 505.503642
1250, 506.238385
1250, 504.585212
1250, 504.401526
1250, 501.646237
1250, 502.380981
1250, 505.136270
1250, 501.646237
1250, 502.748353
1250, 501.278865
1250, 501.095180
1250, 502.932039
1250, 504.401526
1250, 503.483096
1250, 503.115725
1250, 501.829923
1250, 501.829923
1250, 502.748353
1250, 503.666782
1250, 504.768898
1250, 505.319956
1250, 505.136270
1250, 503.666782
1250, 504.768898
1250, 507.156815
1250, 507.340501
1250, 504.217840
1250, 500.544122
1250, 503.666782
1250, 503.483096
1250, 504.585212
1250, 506.973129
1250, 506.238385
1250, 508.258930
1250, 504.585212
1250, 504.401526
1250, 507.524187
1250, 508.075244
1250, 505.871013
1250, 504.034154
1250, 505.687327
1250, 506.054699
1250, 505.687327
1250, 504.401526
1250, 503.299411
1250, 505.319956
1250, 502.564667
1250, 501.278865
1250, 500.727808
1250, 505.503642
1250, 503.850468
1250, 504.401526
1250, 505.503642
1250, 502.748353
1250, 498.523577
1250, 500.727808
1250, 501.095180
1250, 501.462551
1250, 504.401526
1250, 502.380981
1250, 502.380981
1250, 504.768898
1250, 502.932039
1250, 503.299411
1250, 502.932039
1250, 501.829923
1250, 504.034154
1250, 502.013609
1250, 502.013609
1250, 501.462551
1250, 505.503642
1250, 504.585212
1250, 503.299411
1250, 503.299411
1250, 504.034154
1250, 503.299411
1250, 505.319956
1250, 504.585212
1250, 504.952584
1250, 507.156815
1250, 505.687327
1250, 505.136270
1250, 504.217840
1250, 506.973129
1250, 508.075244
1250, 504.217840
1250, 508.442616
1250, 506.605757
1250, 506.422071
1250, 507.524187
1250, 506.054699
1250, 503.666782
1250, 505.503642
1250, 505.871013
1250, 504.585212
1250, 504.034154
1250, 504.952584
1250, 504.401526
1250, 503.483096
1250, 502.380981
1250, 505.503642
1250, 505.503642
1250, 506.238385
1250, 506.973129
1250, 502.932039
1250, 500.727808
1250, 502.564667
1250, 501.462551
1250, 502.380981
1250, 498.156205
1250, 500.176750
1250, 501.462551
1250, 502.564667
1250, 506.238385
1250, 503.115725
1250, 504.585212
1250, 503.666782
1250, 502.197295
